N,t
906,0.017478
907,0.017727
908,0.017742
909,0.017522
910,0.024502
911,0.02681
912,0.023995
913,0.0248
914,0.020331
915,0.020197
916,0.02219
917,0.020367
918,0.020937
919,0.020205
920,0.020008
921,0.022013
922,0.022454
923,0.019431
924,0.018735
925,0.022551
926,0.020634
927,0.028193
928,0.023429
929,0.023533
930,0.020403
931,0.020016
932,0.020286
933,0.020173
934,0.019118
935,0.020097
936,0.020494
937,0.019155
938,0.01948
939,0.020728
940,0.019828
941,0.019153
942,0.01924
943,0.019186
944,0.018981
945,0.019093
946,0.018941
947,0.019196
948,0.019804
949,0.018907
950,0.020783
951,0.022531
952,0.019277
953,0.020959
954,0.022299
955,0.019871
956,0.019569
957,0.019821
958,0.019887
959,0.019655
960,0.019614
961,0.019745
962,0.02001
963,0.019734
964,0.019783
965,0.01998
966,0.020063
967,0.019929
968,0.02284
969,0.020984
970,0.020491
971,0.020408
972,0.020634
973,0.02062
974,0.020312
975,0.020563
976,0.023021
977,0.023799
978,0.021735
979,0.020736
980,0.023622
981,0.024933
982,0.02426
983,0.026573
984,0.022188
985,0.021127
986,0.029786
987,0.02515
988,0.023135
989,0.024448
990,0.024353
991,0.025383
992,0.024453
993,0.025499
994,0.023908
995,0.024662
996,0.024637
997,0.026283
998,0.026397
999,0.02788
1000,0.024496
1001,0.02373
1002,0.023426
1003,0.021902
1004,0.021811
1005,0.021914
1006,0.021964
1007,0.021865
1008,0.02192
1009,0.021908
1010,0.023004
1011,0.023171
1012,0.022702
1013,0.022795
1014,0.02343
1015,0.023254
1016,0.022508
1017,0.022954
1018,0.023113
1019,0.022505
1020,0.022587
1021,0.023472
1022,0.023207
1023,0.022516
1024,0.022437
1025,0.022585
1026,0.02261
1027,0.022744
1028,0.022837
1029,0.022708
1030,0.022585
1031,0.022727
1032,0.022706
1033,0.022793
1034,0.022964
1035,0.022924
1036,0.023119
1037,0.022944
1038,0.022969
1039,0.023107
1040,0.023052
1041,0.023115
1042,0.027002
1043,0.028067
1044,0.027242
1045,0.027252
1046,0.025272
1047,0.026701
1048,0.023724
1049,0.025444
1050,0.024763
1051,0.023902
1052,0.023786
1053,0.024091
1054,0.02378
1055,0.023708
1056,0.023833
1057,0.027179
1058,0.024159
1059,0.024039
1060,0.02401
1061,0.024088
1062,0.024344
1063,0.023957
1064,0.024104
1065,0.024474
1066,0.024444
1067,0.024529
1068,0.024872
1069,0.024515
1070,0.024448
1071,0.024486
1072,0.024172
1073,0.024499
1074,0.026837
1075,0.02566
1076,0.024648
1077,0.024694
1078,0.02463
1079,0.024665
1080,0.024974
1081,0.024779
1082,0.024934
1083,0.024969
1084,0.024892
1085,0.025175
1086,0.025025
1087,0.025254
1088,0.026064
1089,0.026812
1090,0.025251
1091,0.025358
1092,0.025132
1093,0.025503
1094,0.025379
1095,0.025549
1096,0.025452
1097,0.025628
1098,0.025423
1099,0.025828
1100,0.025529
1101,0.027533
1102,0.026132
1103,0.025596
1104,0.027514
1105,0.027241
1106,0.026192
1107,0.02649
1108,0.026439
1109,0.026218
1110,0.025798
1111,0.025739
1112,0.025963
1113,0.025913
1114,0.025982
1115,0.026135
1116,0.026044
1117,0.026229
1118,0.026163
1119,0.027124
1120,0.026368
1121,0.025911
1122,0.025932
1123,0.026155
1124,0.026299
1125,0.027007
1126,0.027139
1127,0.027172
1128,0.027413
1129,0.027402
1130,0.027251
1131,0.02736
1132,0.027477
1133,0.027414
1134,0.027543
1135,0.02726
1136,0.027569
1137,0.027662
1138,0.028095
1139,0.027996
1140,0.027686
1141,0.027912
1142,0.027896
1143,0.028112
1144,0.028403
1145,0.027931
1146,0.027999
1147,0.027981
1148,0.027971
1149,0.028019
1150,0.028035
1151,0.028006
1152,0.028292
1153,0.028658
1154,0.028034
1155,0.029081
1156,0.028721
1157,0.02881
1158,0.028521
1159,0.028361
1160,0.028766
1161,0.027805
1162,0.033632
1163,0.035399
1164,0.033514
1165,0.034442
1166,0.032897
1167,0.029757
1168,0.030519
1169,0.031882
1170,0.03079
1171,0.029806
1172,0.029857
1173,0.032058
1174,0.02913
1175,0.0293
1176,0.031305
1177,0.030703
1178,0.029473
1179,0.029446
1180,0.029387
1181,0.029627
1182,0.02952
1183,0.029613
1184,0.029419
1185,0.029631
1186,0.029562
1187,0.029824
1188,0.030218
1189,0.029969
1190,0.030033
1191,0.030164
1192,0.030332
1193,0.030207
1194,0.030174
1195,0.030517
1196,0.030663
1197,0.030478
1198,0.030538
1199,0.030715
